address	size	name	source	frame	leaf	calls	tail_calls	jump_tables	unresolved
0x80003100	64	__check_pad3	dtk	1	0	1	0	0	0
0x80003140	312	__start	dtk	1	0	10	0	0	0
0x80003278	28	__init_registers	dtk	0	1	0	0	0	0
0x80003294	192	__init_data	dtk	1	0	3	0	0	0
0x80003354	32	__init_hardware	dtk	0	0	2	0	0	0
0x80003374	52	__flush_cache	dtk	0	1	0	0	0	0
0x800033A8	48	fn_800033A8	auto	1	0	1	0	0	0
0x800033D8	36	fn_800033D8	auto	0	1	0	0	0	0
0x80004000	48	fn_80004000	auto	0	1	0	0	0	0
0x80005330	260	fn_80005330	auto	1	0	2	0	0	0
0x80005434	48	memset	dtk	1	0	1	0	0	0
0x80005464	188	__fill_mem	dtk	0	1	0	0	0	0
0x80005520	80	memcpy	dtk	0	1	0	0	0	0
0x80005600	852	OSCheckHeap	string	1	0	1	0	0	0
0x80005954	20	fn_80005954	auto	0	1	0	0	0	0
0x80005968	108	fn_80005968	auto	0	1	0	0	0	0
0x800059D4	112	fn_800059D4	auto	0	1	0	0	0	0
0x80005A44	16	fn_80005A44	auto	0	1	0	0	0	0
0x80005A54	132	fn_80005A54	auto	1	0	1	0	0	0
0x80005AD8	120	fn_80005AD8	auto	1	0	1	0	0	0
0x80005B50	76	fn_80005B50	auto	1	0	2	0	0	0
0x80005B9C	336	fn_80005B9C	auto	0	1	0	0	0	0
0x80005CEC	172	fn_80005CEC	auto	0	1	0	0	0	0
0x80005D98	884	fn_80005D98	auto	1	0	5	0	0	0
0x8000610C	1292	fn_8000610C	auto	1	0	3	0	0	0
0x80006618	684	fn_80006618	auto	1	1	0	0	0	0
0x800068C4	428	fn_800068C4	auto	1	1	0	0	0	0
0x80006A70	400	fn_80006A70	auto	1	1	0	0	0	0
0x80006C00	224	fn_80006C00	auto	1	1	0	0	0	0
0x80006CE0	192	fn_80006CE0	auto	1	0	1	0	0	0
0x80006DA0	380	fn_80006DA0	auto	1	0	1	0	0	0
0x80006F1C	356	fn_80006F1C	auto	1	0	1	0	0	0
0x80007080	344	fn_80007080	auto	1	0	1	0	0	0
0x800071D8	168	fn_800071D8	auto	1	1	0	0	0	0
0x80007280	40	fn_80007280	auto	1	0	1	0	0	0
0x800072A8	40	fn_800072A8	auto	1	0	1	0	0	0
0x800072D0	40	fn_800072D0	auto	1	0	1	0	0	0
0x800072F8	40	fn_800072F8	auto	1	0	1	0	0	0
0x80007320	40	fn_80007320	auto	1	0	1	0	0	0
0x80007348	40	fn_80007348	auto	1	0	1	0	0	0
0x80007370	40	fn_80007370	auto	1	0	1	0	0	0
0x80007398	40	fn_80007398	auto	1	0	1	0	0	0
0x800073C0	124	fn_800073C0	auto	1	0	2	0	0	0
0x8000743C	216	fn_8000743C	auto	0	1	0	0	0	0
0x80007514	20	fn_80007514	auto	0	1	0	0	0	0
0x80007528	280	fn_80007528	auto	1	1	0	0	0	0
0x80007640	284	fn_80007640	auto	1	0	5	0	0	0
0x8000775C	256	fn_8000775C	auto	1	0	3	0	0	0
0x8000785C	336	fn_8000785C	auto	1	0	6	0	0	0
0x800079AC	592	fn_800079AC	auto	1	0	13	0	0	0
0x80007BFC	708	fn_80007BFC	auto	1	0	5	0	0	0
0x80007EC0	320	fn_80007EC0	auto	1	0	2	0	0	0
0x80008000	268	fn_80008000	auto	1	0	1	0	0	0
0x8000810C	100	fn_8000810C	auto	1	0	1	0	0	0
0x80008170	36	fn_80008170	auto	1	0	1	0	0	0
0x80008194	196	fn_80008194	auto	1	0	2	0	0	0
0x80008258	28	fn_80008258	auto	0	1	0	0	0	0
0x80008274	148	fn_80008274	auto	1	1	0	0	0	0
0x80008308	36	fn_80008308	auto	1	0	1	0	0	0
0x8000832C	516	fn_8000832C	auto	1	0	3	0	0	0
0x80008530	188	fn_80008530	auto	1	0	3	0	0	0
0x800085EC	168	fn_800085EC	auto	1	0	2	0	0	0
0x80008694	40	fn_80008694	auto	1	0	1	0	0	0
0x800086BC	324	fn_800086BC	auto	1	0	3	0	0	0
0x80008800	312	fn_80008800	auto	1	0	2	0	0	0
0x80008938	184	fn_80008938	auto	1	0	2	0	0	0
0x800089F0	196	fn_800089F0	auto	1	0	1	0	0	0
0x80008AB4	332	fn_80008AB4	auto	1	0	2	0	0	0
0x80008C00	104	fn_80008C00	auto	1	0	1	0	0	0
0x80008C68	380	fn_80008C68	auto	1	0	2	0	0	0
0x80008DE4	16	fn_80008DE4	auto	0	1	0	0	0	0
0x80008DF4	276	fn_80008DF4	auto	1	0	3	0	0	0
0x80008F08	296	fn_80008F08	auto	1	0	1	0	0	0
0x80009030	200	fn_80009030	auto	1	0	1	0	0	0
0x800090F8	172	fn_800090F8	auto	1	0	5	0	0	0
0x800091A4	60	fn_800091A4	auto	1	0	1	0	0	0
0x800091E0	480	fn_800091E0	auto	1	0	5	0	0	0
0x800093C0	320	fn_800093C0	auto	1	0	2	0	0	0
0x80009500	208	fn_80009500	auto	1	0	1	0	0	0
0x800095D0	236	fn_800095D0	auto	1	0	6	0	0	0
0x800096BC	148	fn_800096BC	auto	1	0	3	0	0	0
0x80009750	176	fn_80009750	auto	1	0	5	0	0	0
0x80009800	96	fn_80009800	auto	1	0	1	0	0	0
0x80009860	20	fn_80009860	auto	0	1	0	0	0	0
0x80009874	1512	fn_80009874	auto	1	0	29	0	0	0
0x80009E5C	352	fn_80009E5C	auto	1	0	3	0	0	0
0x80009FBC	28	fn_80009FBC	auto	0	1	0	0	0	0
0x80009FD8	320	fn_80009FD8	auto	1	0	11	0	0	0
0x8000A118	628	fn_8000A118	auto	1	0	32	0	1	0
0x8000A38C	24	fn_8000A38C	auto	0	1	0	0	0	0
0x8000A3A4	88	fn_8000A3A4	auto	1	0	2	0	0	0
0x8000A3FC	1548	fn_8000A3FC	auto	1	0	13	0	0	0
0x8000AA08	80	fn_8000AA08	auto	1	0	3	0	0	0
0x8000AA58	64	fn_8000AA58	auto	1	0	3	0	0	0
0x8000AA98	308	fn_8000AA98	auto	1	0	1	0	0	0
0x8000ABCC	284	fn_8000ABCC	auto	1	0	2	0	0	0
0x8000ACE8	8	fn_8000ACE8	auto	0	1	0	0	0	0
0x8000ACF0	64	fn_8000ACF0	auto	1	0	1	0	0	0
0x8000AD30	216	fn_8000AD30	auto	1	0	2	0	0	0
0x8000AE08	1304	fn_8000AE08	auto	1	0	6	0	0	0
0x8000B320	724	fn_8000B320	auto	1	0	3	0	0	0
0x8000B5F4	252	fn_8000B5F4	auto	1	0	11	0	0	0
0x8000B6F0	140	fn_8000B6F0	auto	1	0	8	0	0	0
0x8000B77C	360	fn_8000B77C	auto	1	0	2	0	0	0
0x8000B8E4	580	fn_8000B8E4	auto	1	0	3	0	0	0
0x8000BB28	768	fn_8000BB28	auto	1	0	9	0	2	0
0x8000BE28	288	fn_8000BE28	auto	1	0	3	0	0	0
0x8000BF48	204	fn_8000BF48	auto	1	0	3	0	0	0
0x8000C014	392	fn_8000C014	auto	1	0	3	0	0	0
0x8000C19C	1572	fn_8000C19C	auto	1	0	10	0	1	0
0x8000C7C0	236	fn_8000C7C0	auto	1	0	1	0	1	0
0x8000C8AC	332	fn_8000C8AC	auto	1	0	8	0	0	0
0x8000C9F8	332	fn_8000C9F8	auto	1	0	6	0	0	0
0x8000CB44	320	fn_8000CB44	auto	1	0	8	0	0	0
0x8000CC84	56	fn_8000CC84	auto	0	1	0	0	0	0
0x8000CCBC	556	fn_8000CCBC	auto	0	1	0	0	0	0
0x8000CEE8	172	fn_8000CEE8	auto	1	0	1	0	0	0
0x8000CF94	104	fn_8000CF94	auto	1	0	1	0	0	0
0x8000CFFC	1164	fn_8000CFFC	auto	1	0	2	0	0	0
0x8000D488	684	fn_8000D488	auto	1	0	1	0	0	0
0x8000D734	456	fn_8000D734	auto	1	0	4	0	0	0
0x8000D8FC	652	fn_8000D8FC	auto	1	0	1	0	0	0
0x8000DB88	628	fn_8000DB88	auto	1	0	2	0	0	0
0x8000DDFC	204	fn_8000DDFC	auto	1	0	1	0	0	0
0x8000DEC8	136	fn_8000DEC8	auto	0	1	0	0	0	0
0x8000DF50	220	fn_8000DF50	auto	0	1	0	0	0	0
