# scene/frame	label	sha256 .fifo	sha256 .regs	sha256 .ram
battle/4000	battle: a101b, alarm	72fe13cf321a4d4c559f7772475cc38d1e6338ef32471d670fae8678709d5900	335e568adbba1c3a3e34ded06bb30d0578ab83534908efa4c3b7056e9033a110	6145e9c91af606926ab3ebc80c04760da75c2cb7591d8b61572bae0f9fc8480e
battle/4001	battle: a101b, alarm +1	61005496b5bd230a24a1523c7736d28eb73e7360f91c80729d4851c39627e72a	b19adaccb8a953c6a832e4219cb84d9e47ab62daadb3c744515a15388ce68811	dc17ec447c9733288ef240a3fc12e16725781fbc690dc03addcaae94e094732e
corpus/15800	corpus 15800 (a101b)	887bbfbd989a646da2d5c517a5d79e7643519eeb9bead2595dcd6b212e8c0e26	a6868dd01155ba0dc231a3140503369a2ea095f1405c5d1c3e50b2b7806ac224	645331abeadd2fa9d0e40f7ba952ccae9fd80175b2523ca011262f052ed26e14
corpus/6000	corpus 6000 (early game)	773e056070d75e0e5589e4fc39830d47f8a909826632fc335dfdb27db3971294	0088f805aab43678e998e390c1bf942d397d937791fb6eb8ff0f8797f6857bdd	171b6cb03b28394752c707629014aed2cf572bbf8be66d9120be55207456dc7f
cutscene/4500	cutscene: Alfonso's bridge	4bd57137a634e15e3912e2de18296f08d214bd44abcf8e684578b325ea620f0a	750f0d6798edecb05448c898401d79a67c986128fa26b6820e94c2ad07a2da77	a97018e790c30e3b9f653b828deab9ec01d63dc16d8c600e35ec08e1c34f66c0
cutscene/4501	cutscene: Alfonso's bridge +1	bfcb6b9eefdb1249ba28b9f032320a6d58715c3e0eca71c838d4b1c4256cfdc4	f729c063394f8b82ac89466f49575b03ecd0b7336fec6b0226a8dc923fb074e2	8d464cb26188e042d89ab47ed942fd7fb3d7060208df5723a2aee5f6fa2681ce
field/5000	field: Dangral base	1dee147a2b963f36479905ba908e043b50571b02ec3d11d27f6e89ba3578ef08	1cc4d84875b7c1be3f590affd9d9563c8965b2a740860430b7e3b0b3b4220fc1	9706dd172d7e0c9d005001323e719b7fda381c86ad5c782e9ccb1f73d0d509ae
field/5001	field: Dangral base +1	d81c5b8e0a02b3e328952685a701550d468131bb461e84e5d537f65c6e80b588	eeab7b962080390c00fd97825ee4345e0cc8d5adb3808ecb345b9558c43d7e14	20452a06a135fa8973d1b152e53d81831c29b7fda6ad1f4d1c167a6a3ff8ff52
ship/6000	ship battle: 550a	5bae47d56644cbd8ddf04b5787bb173cdcc01b0edc7cc9bbba71e71ace389605	72b5dbf1186772a7035812c0ea1984954808db95dbf8f3a572bea6f40d326c8a	f1d9b7b6b4abe83f4e0520c36c7a0d7e9c042c89800e889f63c86125a6dd80f4
ship/6001	ship battle: 550a +1	1dfa9ebeb3cd9edbafe6d5864fca25d447d850dfdb2774f56af5b3682d2c3595	18fb48f8302af4a079537e850ce1227c49db51539d96aeaa124bd71f0e1e4e3e	fb48158215da53483f34638f1099e8f9d8f243ec35f83d3a7265babd66f2c474
sky/4000	sky: world map 099l	1482019e427bd1f53841f7913c0e291eaef1f4781d5e456490532592ed81ca63	7a4de7b83d06590dc25d5ff3c2a9d557c071726cb13988eabcda80a92d875b47	2d455f871127659e3009b5be607b6cc6642f6bf555d950962e92ce1a634a6bd2
sky/4001	sky: world map 099l +1	2d830b36fd81f402efd2a9b3587c238de2ec305e5a5afe5d133d1c66170243bb	2178880c7b28034c477bf9615757265708a67775401aab69d1ad439717731c22	5bf5b457d8490284aea5e16f0b204678bdbca6758336f34ce6b682d3ff204a70
