addr	size	zone	nstores	stb	stw	sth	stfs	psq_st	stwu	ncallsites	name
0x801D1ED4	516	game	8	3	3	2	0	0	0	1	fn_801D1ED4
0x801D2414	188	game	8	3	3	2	0	0	0	1	fn_801D2414
0x801E203C	816	game	5	0	0	0	5	0	0	1	fn_801E203C
0x80231360	460	game	8	0	1	1	6	0	0	1	fn_80231360
0x8024B2B0	2156	SDK	36	19	17	0	0	0	0	2	GXInit
0x8024CC3C	344	SDK	3	1	2	0	0	0	0	1	fn_8024CC3C
0x8024D0E4	84	SDK	6	4	2	0	0	0	0	2	fn_8024D0E4
0x8024D964	156	SDK	9	6	3	0	0	0	0	2	fn_8024D964
0x8024DA00	140	SDK	6	4	2	0	0	0	0	81	fn_8024DA00
0x8024DA8C	16	SDK	1	1	0	0	0	0	0	11	GXInvalidateVtxCache
0x8024DA9C	720	SDK	6	2	4	0	0	0	0	52	fn_8024DA9C
0x8024DD6C	64	SDK	3	1	2	0	0	0	0	59	fn_8024DD6C
0x8024DE18	92	SDK	8	0	8	0	0	0	0	45	fn_8024DE18
0x8024DF5C	184	SDK	12	2	10	0	0	0	0	2	fn_8024DF5C
0x8024E020	128	SDK	2	1	1	0	0	0	0	7	fn_8024E020
0x8024E0A0	36	SDK	2	1	1	0	0	0	0	2	fn_8024E0A0
0x8024E0C4	36	SDK	2	1	1	0	0	0	0	1	fn_8024E0C4
0x8024E478	240	SDK	2	1	0	1	0	0	0	96	fn_8024E478
0x8024E568	136	SDK	11	1	9	1	0	0	0	2	fn_8024E568
0x8024E5F0	72	SDK	2	1	1	0	0	0	0	5	fn_8024E5F0
0x8024E638	72	SDK	2	1	1	0	0	0	0	3	fn_8024E638
0x8024E680	92	SDK	2	1	1	0	0	0	0	10	fn_8024E680
0x8024E728	60	SDK	4	2	2	0	0	0	0	1	fn_8024E728
0x8024E764	36	SDK	2	1	1	0	0	0	0	2	fn_8024E764
0x8024EE20	200	SDK	2	1	1	0	0	0	0	3	fn_8024EE20
0x8024EEE8	104	SDK	6	3	3	0	0	0	0	5	fn_8024EEE8
0x8024EF50	552	SDK	12	6	6	0	0	0	0	3	fn_8024EF50
0x8024F194	348	SDK	22	11	11	0	0	0	0	2	fn_8024F194
0x8024F2F0	380	SDK	22	11	11	0	0	0	0	6	fn_8024F2F0
0x8024F46C	56	SDK	4	2	2	0	0	0	0	1	fn_8024F46C
0x8024F838	124	SDK	2	1	0	0	0	0	1	11	fn_8024F838
0x8024F8B4	244	SDK	3	1	2	0	0	0	0	15	fn_8024F8B4
0x8024F9A8	244	SDK	3	1	2	0	0	0	0	18	fn_8024F9A8
0x8024FA9C	68	SDK	3	1	2	0	0	0	0	24	fn_8024FA9C
0x8024FAE0	204	SDK	9	3	6	0	0	0	0	52	fn_8024FAE0
0x8025030C	408	SDK	14	7	7	0	0	0	0	1	fn_8025030C
0x80250540	156	SDK	4	2	2	0	0	0	0	4	fn_80250540
0x80250744	268	SDK	4	2	2	0	0	0	0	1	GXInvalidateTexRegion
0x80250850	72	SDK	4	2	2	0	0	0	0	8	GXInvalidateTexAll
0x802508C0	184	SDK	4	2	2	0	0	0	0	2	fn_802508C0
0x80250AF4	576	SDK	64	32	32	0	0	0	0	1	__GXSetTmemConfig
0x80250D34	156	SDK	2	1	1	0	0	0	0	1	fn_80250D34
0x80250DD0	380	SDK	8	4	4	0	0	0	0	4	fn_80250DD0
0x80250FBC	204	SDK	2	1	1	0	0	0	0	2	fn_80250FBC
0x80251088	36	SDK	2	1	1	0	0	0	0	10	__GXFlushTextureState
0x802510AC	140	SDK	4	2	2	0	0	0	0	1	fn_802510AC
0x80251138	68	SDK	2	1	1	0	0	0	0	49	fn_80251138
0x8025117C	68	SDK	2	1	1	0	0	0	0	68	fn_8025117C
0x802511C0	104	SDK	2	1	1	0	0	0	0	48	fn_802511C0
0x80251228	104	SDK	2	1	1	0	0	0	0	49	fn_80251228
0x80251290	116	SDK	8	4	4	0	0	0	0	6	fn_80251290
0x80251304	108	SDK	2	1	1	0	0	0	0	2	fn_80251304
0x80251370	108	SDK	2	1	1	0	0	0	0	1	fn_80251370
0x802513DC	84	SDK	2	1	1	0	0	0	0	7	fn_802513DC
0x80251430	152	SDK	4	2	2	0	0	0	0	9	fn_80251430
0x802514C8	84	SDK	2	1	1	0	0	0	0	32	fn_802514C8
0x8025151C	132	SDK	4	2	2	0	0	0	0	1	fn_8025151C
0x802515A0	472	SDK	2	1	1	0	0	0	0	64	fn_802515A0
0x802517A8	432	SDK	10	5	5	0	0	0	0	7	fn_802517A8
0x80251958	256	SDK	12	6	6	0	0	0	0	1	fn_80251958
0x80251A58	84	SDK	2	1	1	0	0	0	0	15	fn_80251A58
0x80251AAC	44	SDK	2	1	1	0	0	0	0	4	fn_80251AAC
0x80251AD8	44	SDK	2	1	1	0	0	0	0	3	fn_80251AD8
0x80251B04	52	SDK	2	1	1	0	0	0	0	11	fn_80251B04
0x80251B38	56	SDK	2	1	1	0	0	0	0	32	fn_80251B38
0x80251B70	232	SDK	4	2	2	0	0	0	0	2	fn_80251B70
0x80251C58	52	SDK	2	1	1	0	0	0	0	1	fn_80251C58
0x80251C8C	60	SDK	2	1	1	0	0	0	0	1	fn_80251C8C
0x80251CC8	56	SDK	2	1	1	0	0	0	0	1	fn_80251CC8
0x80251D00	124	SDK	4	2	2	0	0	0	0	2	fn_80251D00
0x80251F1C	112	SDK	3	1	2	0	0	0	0	2	fn_80251F1C
0x80251F8C	180	SDK	9	1	2	0	6	0	0	5	fn_80251F8C
